@relation car_data

@attribute make {alfa-romero,audi,bmw,chevrolet,dodge,honda,isuzu,jaguar,mazda,mercedes-benz,mercury,mitsubishi,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute drive_wheels {rwd,fwd,4wd}
@attribute length numeric
@attribute width numeric
@attribute height numeric
@attribute num_of_doors {two,four}
@attribute body_style {convertible,hatchback,sedan,wagon,hardtop}
@attribute Slot_Size {M,L,S}

@data
volvo,rwd,188.8,68.9,55.5,four,sedan,L
volvo,rwd,188.8,68.9,55.5,four,sedan,L
audi,fwd,176.6,66.2,54.3,four,sedan,M
audi,fwd,177.3,66.3,53.1,two,sedan,M
audi,fwd,192.7,71.4,55.7,four,sedan,L
audi,fwd,192.7,71.4,55.7,four,wagon,L
audi,fwd,192.7,71.4,55.9,four,sedan,L
chevrolet,fwd,141.1,60.3,53.2,two,hatchback,S
chevrolet,fwd,155.9,63.6,52,two,hatchback,S
chevrolet,fwd,158.8,63.6,52,four,sedan,S
dodge,fwd,157.3,63.8,50.8,two,hatchback,S
dodge,fwd,157.3,63.8,50.8,two,hatchback,S
dodge,fwd,157.3,63.8,50.8,two,hatchback,S
dodge,fwd,157.3,63.8,50.6,four,hatchback,S
dodge,fwd,157.3,63.8,50.6,four,sedan,S
dodge,fwd,157.3,63.8,50.6,four,sedan,S
dodge,fwd,157.3,63.8,50.6,?,sedan,S
dodge,fwd,174.6,64.6,59.8,four,wagon,M
dodge,fwd,173.2,66.3,50.2,two,hatchback,M
honda,fwd,144.6,63.9,50.8,two,hatchback,S
honda,fwd,144.6,63.9,50.8,two,hatchback,S
honda,fwd,150,64,52.6,two,hatchback,S
honda,fwd,150,64,52.6,two,hatchback,S
honda,fwd,150,64,52.6,two,hatchback,S
honda,fwd,163.4,64,54.5,four,sedan,S
honda,fwd,157.1,63.9,58.3,four,wagon,S
honda,fwd,167.5,65.2,53.3,two,hatchback,M
honda,fwd,167.5,65.2,53.3,two,hatchback,M
honda,fwd,175.4,65.2,54.1,four,sedan,M
honda,fwd,175.4,62.5,54.1,four,sedan,M
honda,fwd,175.4,65.2,54.1,four,sedan,M
honda,fwd,169.1,66,51,two,sedan,M
isuzu,fwd,155.9,63.6,52,two,sedan,S
isuzu,fwd,155.9,63.6,52,four,sedan,S
mazda,fwd,159.1,64.2,54.1,two,hatchback,S
mazda,fwd,159.1,64.2,54.1,two,hatchback,S
mazda,fwd,159.1,64.2,54.1,two,hatchback,S
mazda,fwd,166.8,64.2,54.1,four,sedan,S
mazda,fwd,166.8,64.2,54.1,four,sedan,S
mazda,fwd,177.8,66.5,53.7,two,hatchback,M
mazda,fwd,177.8,66.5,55.5,four,sedan,M
mazda,fwd,177.8,66.5,53.7,two,hatchback,M
mazda,fwd,177.8,66.5,55.5,four,sedan,M
mazda,fwd,177.8,66.5,55.5,?,sedan,M
mazda,fwd,177.8,66.5,55.5,four,hatchback,M
mitsubishi,fwd,157.3,64.4,50.8,two,hatchback,S
mitsubishi,fwd,157.3,64.4,50.8,two,hatchback,S
mitsubishi,fwd,157.3,64.4,50.8,two,hatchback,S
mitsubishi,fwd,157.3,63.8,50.8,two,hatchback,S
mitsubishi,fwd,173,65.4,49.4,two,hatchback,M
mitsubishi,fwd,173,65.4,49.4,two,hatchback,M
mitsubishi,fwd,173.2,66.3,50.2,two,hatchback,M
mitsubishi,fwd,173.2,66.3,50.2,two,hatchback,M
mitsubishi,fwd,173.2,66.3,50.2,two,hatchback,M
mitsubishi,fwd,172.4,65.4,51.6,four,sedan,M
mitsubishi,fwd,172.4,65.4,51.6,four,sedan,M
mitsubishi,fwd,172.4,65.4,51.6,four,sedan,M
mitsubishi,fwd,172.4,65.4,51.6,four,sedan,M
nissan,fwd,165.3,63.8,54.5,two,sedan,S
nissan,fwd,165.3,63.8,54.5,two,sedan,S
nissan,fwd,165.3,63.8,54.5,two,sedan,S
nissan,fwd,165.3,63.8,54.5,four,sedan,S
nissan,fwd,170.2,63.8,53.5,four,wagon,M
nissan,fwd,165.3,63.8,54.5,two,sedan,S
nissan,fwd,165.6,63.8,53.3,two,hatchback,S
nissan,fwd,165.3,63.8,54.5,four,sedan,S
nissan,fwd,170.2,63.8,53.5,four,wagon,M
nissan,fwd,162.4,63.8,53.3,two,hardtop,S
nissan,fwd,173.4,65.2,54.7,four,hatchback,M
nissan,fwd,173.4,65.2,54.7,four,sedan,M
nissan,fwd,181.7,66.5,55.1,four,sedan,M
nissan,fwd,184.6,66.5,56.1,four,wagon,M
nissan,fwd,184.6,66.5,55.1,four,sedan,M
plymouth,fwd,157.3,63.8,50.8,two,hatchback,S
plymouth,fwd,157.3,63.8,50.8,two,hatchback,S
plymouth,fwd,157.3,63.8,50.6,four,hatchback,S
plymouth,fwd,167.3,63.8,50.8,four,sedan,S
plymouth,fwd,167.3,63.8,50.8,four,sedan,S
plymouth,fwd,174.6,64.6,59.8,four,wagon,M
renault,fwd,181.5,66.5,55.2,four,wagon,M
renault,fwd,176.8,66.6,50.5,two,hatchback,M
saab,fwd,186.6,66.5,56.1,two,hatchback,M
saab,fwd,186.6,66.5,56.1,four,sedan,M
saab,fwd,186.6,66.5,56.1,two,hatchback,M
saab,fwd,186.6,66.5,56.1,four,sedan,M
saab,fwd,186.6,66.5,56.1,two,hatchback,M
saab,fwd,186.6,66.5,56.1,four,sedan,M
subaru,fwd,156.9,63.4,53.7,two,hatchback,S
subaru,fwd,157.9,63.6,53.7,two,hatchback,S
subaru,fwd,172,65.4,52.5,four,sedan,M
subaru,fwd,172,65.4,52.5,four,sedan,M
subaru,fwd,172,65.4,52.5,four,sedan,M
subaru,fwd,173.5,65.4,53,four,wagon,M
subaru,fwd,173.5,65.4,53,four,wagon,M
toyota,fwd,158.7,63.6,54.5,two,hatchback,S
toyota,fwd,158.7,63.6,54.5,two,hatchback,S
toyota,fwd,158.7,63.6,54.5,four,hatchback,S
toyota,fwd,169.7,63.6,59.1,four,wagon,S
toyota,fwd,166.3,64.4,53,four,sedan,S
toyota,fwd,166.3,64.4,52.8,four,hatchback,S
toyota,fwd,166.3,64.4,53,four,sedan,S
toyota,fwd,166.3,64.4,52.8,four,hatchback,S
toyota,fwd,166.3,64.4,53,four,sedan,S
toyota,fwd,166.3,64.4,52.8,four,hatchback,S
toyota,fwd,166.3,64.4,52.8,four,sedan,S
toyota,fwd,175.6,66.5,54.9,four,sedan,M
toyota,fwd,175.6,66.5,54.9,four,sedan,M
toyota,fwd,175.6,66.5,53.9,four,hatchback,M
toyota,fwd,175.6,66.5,54.9,four,sedan,M
toyota,fwd,175.6,66.5,53.9,four,hatchback,M
volkswagen,fwd,171.7,65.5,55.7,two,sedan,M
volkswagen,fwd,171.7,65.5,55.7,two,sedan,M
volkswagen,fwd,171.7,65.5,55.7,four,sedan,M
volkswagen,fwd,171.7,65.5,55.7,four,sedan,M
volkswagen,fwd,171.7,65.5,55.7,four,sedan,M
volkswagen,fwd,171.7,65.5,55.7,four,sedan,M
volkswagen,fwd,171.7,65.5,55.7,four,sedan,M
volkswagen,fwd,159.3,64.2,55.6,two,convertible,S
volkswagen,fwd,165.7,64,51.4,two,hatchback,S
volkswagen,fwd,180.2,66.9,55.1,four,sedan,M
volkswagen,fwd,180.2,66.9,55.1,four,sedan,M
volkswagen,fwd,183.1,66.9,55.1,four,wagon,M
audi,4wd,176.6,66.4,54.3,four,sedan,M
audi,4wd,178.2,67.9,52,two,hatchback,M
subaru,4wd,157.3,63.8,55.7,two,hatchback,S
subaru,4wd,172,65.4,54.3,four,sedan,M
subaru,4wd,172,65.4,54.3,four,sedan,M
subaru,4wd,173.6,65.4,54.9,four,wagon,M
subaru,4wd,173.6,65.4,54.9,four,wagon,M
toyota,4wd,169.7,63.6,59.1,four,wagon,S
toyota,4wd,169.7,63.6,59.1,four,wagon,S
